ds,name,shikikin,reikin
2017-11-08,3042,3042,3042
2017-11-09,3274,3274,3274
2017-11-10,3267,3267,3267
2017-11-11,703,703,703
2017-11-12,3278,3278,3278
2017-11-13,3278,3278,3278
2017-11-17,3220,3220,3220
2017-11-19,3125,3125,3125
2017-11-21,3101,3101,3101
2017-11-22,3123,3123,3123
2017-11-23,3122,3122,3122
2017-11-24,3142,3142,3142
2017-11-25,3127,3127,3127
2017-11-26,3162,3162,3162
2017-11-27,3165,3165,3165
2017-11-28,3148,3148,3148
2017-11-29,3169,3169,3169
2017-11-30,3148,3148,3148
2017-12-01,3147,3147,3147
2017-12-02,3118,3118,3118
2017-12-03,3104,3104,3104
2017-12-04,3096,3096,3096
2017-12-05,3085,3085,3085
2017-12-06,3090,3090,3090
2017-12-07,3080,3080,3080
2017-12-08,3074,3074,3074
2017-12-09,3077,3077,3077
2017-12-10,3066,3066,3066
2017-12-11,3066,3066,3066
2017-12-12,3026,3026,3026
2017-12-13,2995,2995,2995
2017-12-14,2984,2984,2984
2017-12-15,2974,2974,2974
2017-12-16,2968,2968,2968
2017-12-17,2967,2967,2967
2017-12-18,2953,2953,2953
2017-12-19,3026,3026,3026
2017-12-20,3015,3015,3015
2017-12-21,3015,3015,3015
2017-12-22,3015,3015,3015
2017-12-23,3015,3015,3015
2017-12-24,3015,3015,3015
2017-12-25,3015,3015,3015
2017-12-26,3015,3015,3015
2017-12-27,3012,3012,3012
2017-12-28,2998,2998,2998
2017-12-29,3002,3002,3002
2017-12-30,2984,2984,2984
2017-12-31,2981,2981,2981
2018-01-01,2979,2979,2979
2018-01-02,2996,2996,2996
2018-01-03,3021,3021,3021
2018-01-04,3026,3026,3026
2018-01-05,3021,3021,3021
2018-01-06,3015,3015,3015
2018-01-07,456,456,456
2018-01-08,3025,3025,3025
2018-01-09,2981,2981,2981
2018-01-10,2994,2994,2994
2018-01-11,2985,2985,2985
2018-01-12,2984,2984,2984
2018-01-13,2965,2965,2965
2018-01-14,30,30,30
