ds,name,shikikin,reikin
2017-10-20,61139,61139,61139
2017-10-21,61838,61838,61838
2017-10-23,44944,44944,44944
2017-10-25,60117,60117,60117
2017-10-26,61372,61372,61372
2017-10-27,63693,63693,63693
2017-10-28,64250,64250,64250
2017-10-29,64358,64358,64358
2017-10-30,61438,61438,61438
2017-10-31,63016,63016,63016
2017-11-01,63017,63017,63017
2017-11-02,63626,63626,63626
2017-11-03,65127,65127,65127
2017-11-04,65699,65699,65699
2017-11-05,66029,66029,66029
2017-11-06,63144,63144,63144
2017-11-07,63826,63826,63826
2017-11-08,63839,63839,63839
2017-11-09,64164,64164,64164
2017-11-10,65010,65010,65010
2017-11-11,65657,65657,65657
2017-11-12,66102,66102,66102
2017-11-13,63057,63057,63057
2017-11-14,64284,64284,64284
2017-11-15,64260,64260,64260
2017-11-16,65250,65250,65250
2017-11-17,65996,65996,65996
2017-11-18,66604,66604,66604
2017-11-19,66323,66323,66323
2017-11-20,62662,62662,62662
2017-11-21,62664,62664,62664
2017-11-25,66051,66051,66051
2017-11-26,66681,66681,66681
2017-11-28,64455,64455,64455
2017-11-29,65023,65023,65023
2017-11-30,64287,64287,64287
2017-12-01,65793,65793,65793
2017-12-03,68136,68136,68136
2017-12-05,65050,65050,65050
2017-12-06,65504,65504,65504
2017-12-07,65501,65501,65501
2017-12-08,66424,66424,66424
2017-12-10,67736,67736,67736
2017-12-12,64809,64809,64809
2017-12-13,65563,65563,65563
2017-12-14,65506,65506,65506
2017-12-15,66165,66165,66165
2017-12-16,66641,66641,66641
2017-12-17,66917,66917,66917
2017-12-18,66296,66296,66296
2017-12-19,66267,66267,66267
2017-12-20,65546,65546,65546
2017-12-22,63087,63087,63087
2017-12-23,64068,64068,64068
2017-12-25,65912,65912,65912
2017-12-26,65037,65037,65037
2017-12-27,66115,66115,66115
2017-12-28,66505,66505,66505
2017-12-30,66576,66576,66576
2017-12-31,66576,66576,66576
2018-01-02,66576,66576,66576
2018-01-04,65783,65783,65783
2018-01-06,66112,66112,66112
2018-01-08,67485,67485,67485
2018-01-10,63297,63297,63297
2018-01-11,63948,63948,63948
2018-01-12,64296,64296,64296
2018-01-13,65402,65402,65402
2018-01-14,66607,66607,66607
2018-01-16,62261,62261,62261
2018-01-17,62963,62963,62963
